SequenceID	MarkerGene	mOTU	mOTU linkage Group Name
765640925-stool1_revised_scaffold2955_2_gene71913	COG0016	COG0016.OTUcal.v2.871	motu_linkage_group_370
159814214-stool1_revised_scaffold19319_1_gene32625	COG0016	COG0016.OTUcal.v2.1868	motu_linkage_group_301
370553.MGAS2096_Spy1678	COG0215	COG0215.OTUcal.v2.1668	-
MH0012_revised_scaffold134120_1_gene234051	COG0525	COG0525.OTUcal.v2.1994	motu_linkage_group_342
548476.CaurA7_010100001969	COG0012	COG0012.OTUcal.v2.1222	-
MH0047_revised_scaffold30317_1_gene26186	COG0012	COG0012.OTUcal.v2.2004	-
160400887-stool1_revised_scaffold162_1_gene20655	COG0495	COG0495.OTUcal.v2.1929	-
765067.HMPREF9565_02063	COG0495	COG0495.OTUcal.v2.468	-
762633.Ththe16_1266	COG0533	COG0533.OTUcal.v2.404	-
887326.HMPREF0388_0341	COG0215	COG0215.OTUcal.v2.1699	-
861967750-stool1_revised_scaffold42062_5_gene57564	COG0016	COG0016.OTUcal.v2.1745	motu_linkage_group_274
765013792-stool1_revised_scaffold4035_7_gene21051	COG0012	COG0012.OTUcal.v2.1703	motu_linkage_group_131
411468.CLOSCI_02273	COG0525	COG0525.OTUcal.v2.900	motu_linkage_group_796
556260.BSEG_00601	COG0525	COG0525.OTUcal.v2.866	motu_linkage_group_170
908341.HMPREF9412_5652	COG0016	COG0016.OTUcal.v2.434	-
662755.CRES_2150	COG0495	COG0495.OTUcal.v2.18	-
159814214-stool1_revised_C612105_1_gene30954	COG0495	COG0495.OTUcal.v2.2001	motu_linkage_group_190
749542.HMPREF9545_01197	COG0016	COG0016.OTUcal.v2.929	motu_linkage_group_607
869210.Marky_1458	COG0533	COG0533.OTUcal.v2.1364	-
764544.GSEF_2166	COG0215	COG0215.OTUcal.v2.1222	-
525919.Apre_1197	COG0495	COG0495.OTUcal.v2.883	-
674977.VMC_32720	COG0172	COG0172.OTUcal.v2.569	-
MH0004_revised_scaffold1627_3_gene32194	COG0012	COG0012.OTUcal.v2.1763	motu_linkage_group_509
160421117-stool1_revised_scaffold9130_1_gene52335	COG0495	COG0495.OTUcal.v2.429	motu_linkage_group_141
MH0020_revised_scaffold1121_15_gene56304	COG0552	COG0552.OTUcal.v2.1985	motu_linkage_group_551
764184357-stool1_revised_scaffold4752_2_gene104580	COG0016	COG0016.OTUcal.v2.1826	motu_linkage_group_85
469383.Cwoe_4517	COG0018	COG0018.OTUcal.v2.24	-
158256496-stool1_revised_C941693_1_gene75429	COG0552	COG0552.OTUcal.v2.1869	motu_linkage_group_282
101510.RHA1_ro06533	COG0541	COG0541.OTUcal.v2.289	-
521098.Aaci_0425	COG0495	COG0495.OTUcal.v2.25	-
754507.ANH9381_1896	COG0533	COG0533.OTUcal.v2.740	-
MH0012_revised_scaffold94187_4_gene77587	COG0525	COG0525.OTUcal.v2.1887	motu_linkage_group_47
93058.P9202_444	COG0525	COG0525.OTUcal.v2.285	-
266940.Krad_0249	COG0172	COG0172.OTUcal.v2.71	-
391165.GbCGDNIH1_0933	COG0525	COG0525.OTUcal.v2.1494	-
324925.Ppha_2611	COG0552	COG0552.OTUcal.v2.718	-
765963.HPPC_04465	COG0215	COG0215.OTUcal.v2.1301	-
525369.HMPREF0693_0611	COG0016	COG0016.OTUcal.v2.242	-
763597684-stool1_revised_scaffold35056_2_gene119881	COG0525	COG0525.OTUcal.v2.1813	motu_linkage_group_103
710127.MGA_0338	COG0525	COG0525.OTUcal.v2.409	-
697329.Rumal_2414	COG0018	COG0018.OTUcal.v2.563	-
216594.MMAR_4105	COG0018	COG0018.OTUcal.v2.441	-
765074482-stool1_revised_scaffold30627_1_gene200277	COG0552	COG0552.OTUcal.v2.1856	motu_linkage_group_375
528359.NGKG_00102	COG0525	COG0525.OTUcal.v2.1470	-
MH0079_revised_scaffold32888_1_gene23240	COG0172	COG0172.OTUcal.v2.1739	motu_linkage_group_85
273116.TVN0532	COG0552	COG0552.OTUcal.v2.1071	-
159551223-stool1_revised_C1071035_1_gene154759	COG0215	COG0215.OTUcal.v2.1798	motu_linkage_group_190
764184357-stool1_revised_scaffold11011_3_gene53319	COG0172	COG0172.OTUcal.v2.1570	motu_linkage_group_119
657314.CK5_17510	COG0012	COG0012.OTUcal.v2.188	motu_linkage_group_697
V1.UC8-0_revised_scaffold15952_17_gene51649	COG0018	COG0018.OTUcal.v2.1706	motu_linkage_group_284
565649.EFKG_00297	COG0533	COG0533.OTUcal.v2.446	-
246195.DNO_0351	COG0525	COG0525.OTUcal.v2.777	-
626939.HMPREF9443_01503	COG0495	COG0495.OTUcal.v2.241	motu_linkage_group_81
593590.VCB_000433	COG0533	COG0533.OTUcal.v2.512	-
861967750-stool1_revised_scaffold4255_2_gene108702	COG0552	COG0552.OTUcal.v2.429	motu_linkage_group_213
565649.EFKG_00298	COG0018	COG0018.OTUcal.v2.438	-
333990.CAT7_00165	COG0018	COG0018.OTUcal.v2.961	-
324057.Pjdr2_0134	COG0018	COG0018.OTUcal.v2.325	-
MH0050_revised_scaffold40705_1_gene4270	COG0541	COG0541.OTUcal.v2.1829	motu_linkage_group_224
985006.SARLGA251_15570	COG0525	COG0525.OTUcal.v2.1323	-
763577454-stool1_revised_scaffold54029_1_gene195943	COG0541	COG0541.OTUcal.v2.824	motu_linkage_group_214
706191.PANA_3387	COG0533	COG0533.OTUcal.v2.1220	-
754027.HMPREF9554_03060	COG0018	COG0018.OTUcal.v2.814	-
273121.WS1600	COG0533	COG0533.OTUcal.v2.325	-
737052003-stool1_revised_scaffold9489_1_gene40076	COG0012	COG0012.OTUcal.v2.298	motu_linkage_group_216
MH0070_revised_scaffold17741_9_gene71389	COG0016	COG0016.OTUcal.v2.457	motu_linkage_group_155
266835.mlr4224	COG0533	COG0533.OTUcal.v2.205	-
613026.HRAG_00550	COG0533	COG0533.OTUcal.v2.1411	-
672161.CTB_0911	COG0012	COG0012.OTUcal.v2.532	-
205918.Psyr_0397	COG0018	COG0018.OTUcal.v2.1085	-
161528.ED21_22353	COG0172	COG0172.OTUcal.v2.496	-
882102.VAA_00720	COG0541	COG0541.OTUcal.v2.538	-
634956.Geoth_3934	COG0012	COG0012.OTUcal.v2.1231	-
438753.AZC_3951	COG0541	COG0541.OTUcal.v2.473	-
159268001-stool1_revised_scaffold12969_4_gene78229	COG0215	COG0215.OTUcal.v2.2142	motu_linkage_group_504
320389.BMA10247_3268	COG0541	COG0541.OTUcal.v2.891	-
592313.VCG_000179	COG0552	COG0552.OTUcal.v2.507	-
349163.Acry_2496	COG0552	COG0552.OTUcal.v2.420	-
764143897-stool1_revised_scaffold3467_1_gene76987	COG0525	COG0525.OTUcal.v2.1790	-
764588959-stool1_revised_scaffold39467_1_gene127454	COG0215	COG0215.OTUcal.v2.1066	motu_linkage_group_396
568819.Lm4b_01226	COG0016	COG0016.OTUcal.v2.1693	-
595537.Varpa_5240	COG0012	COG0012.OTUcal.v2.972	-
511995.CFPG_300	COG0215	COG0215.OTUcal.v2.1190	-
335284.Pcryo_2239	COG0018	COG0018.OTUcal.v2.734	-
737052003-stool1_revised_scaffold1948_4_gene81161	COG0012	COG0012.OTUcal.v2.1928	motu_linkage_group_550
1031711.RSPO_c03119	COG0018	COG0018.OTUcal.v2.527	-
763982056-stool1_revised_scaffold44397_1_gene38084	COG0172	COG0172.OTUcal.v2.1143	motu_linkage_group_132
160704339-stool1_revised_scaffold31705_1_gene58716	COG0552	COG0552.OTUcal.v2.1999	motu_linkage_group_495
260799.BAS5213	COG0018	COG0018.OTUcal.v2.764	-
1033813.ECNA114_1434	COG0215	COG0215.OTUcal.v2.928	motu_linkage_group_607
767031.HMPREF9137_0190	COG0016	COG0016.OTUcal.v2.892	-
764062976-stool1_revised_scaffold7708_1_gene167873	COG0016	COG0016.OTUcal.v2.1871	motu_linkage_group_378
158924089-stool1_revised_C373490_1_gene18101	COG0012	COG0012.OTUcal.v2.1425	motu_linkage_group_105
763496533-stool2_revised_scaffold35198_1_gene96148	COG0541	COG0541.OTUcal.v2.1748	motu_linkage_group_131
446462.Amir_1165	COG0525	COG0525.OTUcal.v2.646	-
706846339-stool1_revised_C1128165_1_gene90142	COG0533	COG0533.OTUcal.v2.1788	motu_linkage_group_282
722438.MPNE_0071	COG0541	COG0541.OTUcal.v2.103	-
158337416-stool2_revised_scaffold15505_1_gene96416	COG0018	COG0018.OTUcal.v2.1920	motu_linkage_group_195
764062976-stool1_revised_scaffold39067_1_gene77330	COG0012	COG0012.OTUcal.v2.20	motu_linkage_group_281
765701615-stool1_revised_scaffold12757_2_gene121979	COG0012	COG0012.OTUcal.v2.1817	-
387344.LVIS_0580	COG0215	COG0215.OTUcal.v2.655	-
MH0062_revised_scaffold3778_1_gene25242	COG0525	COG0525.OTUcal.v2.676	motu_linkage_group_146
633131.TR2A62_1753	COG0525	COG0525.OTUcal.v2.1627	-
264201.pc0654	COG0541	COG0541.OTUcal.v2.1346	-
351160.RCIX568	COG0018	COG0018.OTUcal.v2.751	-
764143897-stool1_revised_scaffold29511_1_gene4765	COG0016	COG0016.OTUcal.v2.1953	motu_linkage_group_451
443152.MDG893_13279	COG0018	COG0018.OTUcal.v2.33	-
159247771-stool2_revised_C476693_1_gene26806	COG0215	COG0215.OTUcal.v2.1850	motu_linkage_group_302
763860675-stool2_revised_C987659_1_gene149112	COG0018	COG0018.OTUcal.v2.1715	motu_linkage_group_145
702438.HMPREF9431_02145	COG0215	COG0215.OTUcal.v2.1111	-
547045.NEISICOT_01470	COG0016	COG0016.OTUcal.v2.155	-
484018.BACPLE_02035	COG0525	COG0525.OTUcal.v2.1574	motu_linkage_group_352
411471.SUBVAR_04303	COG0533	COG0533.OTUcal.v2.418	-
263358.VAB18032_00395	COG0012	COG0012.OTUcal.v2.1429	-
446468.Ndas_2881	COG0525	COG0525.OTUcal.v2.727	-
555778.Hneap_1316	COG0016	COG0016.OTUcal.v2.64	-
763496533-stool1_revised_scaffold6339_1_gene64957	COG0016	COG0016.OTUcal.v2.1723	motu_linkage_group_258
159490532-stool1_revised_scaffold13674_1_gene23297	COG0018	COG0018.OTUcal.v2.425	motu_linkage_group_213
322710.Avin_23530	COG0215	COG0215.OTUcal.v2.1397	-
434923.CbuG_1561	COG0541	COG0541.OTUcal.v2.421	-
331635.G5S_1032	COG0541	COG0541.OTUcal.v2.446	-
393124.LMIG_01014	COG0525	COG0525.OTUcal.v2.618	-
764143897-stool2_revised_scaffold7618_1_gene87848	COG0172	COG0172.OTUcal.v2.355	motu_linkage_group_100
604812005-stool1_revised_C849781_1_gene118193	COG0525	COG0525.OTUcal.v2.1810	motu_linkage_group_310
561229.Dd1591_2958	COG0495	COG0495.OTUcal.v2.1041	-
160582958-stool1_revised_C670420_1_gene42628	COG0495	COG0495.OTUcal.v2.1855	motu_linkage_group_282
298386.PBPRA2885	COG0495	COG0495.OTUcal.v2.1246	-
764184357-stool1_revised_scaffold34167_1_gene78134	COG0552	COG0552.OTUcal.v2.1447	motu_linkage_group_105
763577454-stool2_revised_scaffold14968_1_gene103205	COG0172	COG0172.OTUcal.v2.1550	motu_linkage_group_372
159207311-stool2_revised_C1434254_1_gene163400	COG0172	COG0172.OTUcal.v2.1354	motu_linkage_group_299
1111069.TCCBUS3UF1_22470	COG0016	COG0016.OTUcal.v2.42	-
411484.CLOSS21_00871	COG0525	COG0525.OTUcal.v2.1208	motu_linkage_group_455
768724.HMPREF9131_0704	COG0172	COG0172.OTUcal.v2.1545	-
763982056-stool1_revised_scaffold25952_5_gene21884	COG0012	COG0012.OTUcal.v2.1950	motu_linkage_group_451
595495.EKO11_1892	COG0018	COG0018.OTUcal.v2.927	motu_linkage_group_607
404589.Anae109_4484	COG0012	COG0012.OTUcal.v2.1138	-
272569.rrnAC2966	COG0016	COG0016.OTUcal.v2.250	-
251221.gvip558	COG0018	COG0018.OTUcal.v2.58	-
398580.Dshi_1698	COG0215	COG0215.OTUcal.v2.592	-
749523.HMPREF9525_02900	COG0495	COG0495.OTUcal.v2.1475	-
794851.HPSAT_01585	COG0018	COG0018.OTUcal.v2.1282	-
1036674.A28LD_1175	COG0018	COG0018.OTUcal.v2.1310	-
880072.Desac_2688	COG0172	COG0172.OTUcal.v2.714	-
568819.Lm4b_02755	COG0012	COG0012.OTUcal.v2.618	-
764224817-stool1_revised_scaffold48529_1_gene38690	COG0552	COG0552.OTUcal.v2.1829	motu_linkage_group_134
656443.ECLG_04167	COG0525	COG0525.OTUcal.v2.891	motu_linkage_group_607
155864.Z1974	COG0012	COG0012.OTUcal.v2.923	motu_linkage_group_607
764224817-stool1_revised_scaffold18793_1_gene7756	COG0552	COG0552.OTUcal.v2.1927	motu_linkage_group_385
160400887-stool1_revised_C1549124_1_gene161424	COG0018	COG0018.OTUcal.v2.1757	motu_linkage_group_394
880072.Desac_2351	COG0533	COG0533.OTUcal.v2.722	-
158458797-stool1_revised_scaffold16228_1_gene21135	COG0552	COG0552.OTUcal.v2.426	motu_linkage_group_141
453362.SP187300_0358	COG0495	COG0495.OTUcal.v2.1717	-
MH0048_revised_scaffold60882_1_gene27962	COG0018	COG0018.OTUcal.v2.861	motu_linkage_group_170
292805.Wbm0049	COG0541	COG0541.OTUcal.v2.970	-
561230.PC1_3204	COG0541	COG0541.OTUcal.v2.1265	-
763820215-stool2_revised_scaffold7312_2_gene23420	COG0541	COG0541.OTUcal.v2.1750	motu_linkage_group_104
MH0056_revised_scaffold32752_2_gene29135	COG0525	COG0525.OTUcal.v2.1836	motu_linkage_group_134
986075.CathTA2_0507	COG0215	COG0215.OTUcal.v2.103	-
MH0052_revised_scaffold55552_1_gene26478	COG0533	COG0533.OTUcal.v2.2086	-
469371.Tbis_2474	COG0525	COG0525.OTUcal.v2.422	-
411468.CLOSCI_03569	COG0016	COG0016.OTUcal.v2.898	motu_linkage_group_796
879243.Poras_0717	COG0016	COG0016.OTUcal.v2.1571	motu_linkage_group_775
553581.SAKG_00962	COG0552	COG0552.OTUcal.v2.1324	-
763577454-stool1_revised_scaffold34538_1_gene163531	COG0016	COG0016.OTUcal.v2.1376	motu_linkage_group_299
V1.CD3-0_revised_scaffold28418_3_gene12879	COG0552	COG0552.OTUcal.v2.357	motu_linkage_group_100
MH0006_revised_scaffold216899_1_gene35663	COG0172	COG0172.OTUcal.v2.1712	motu_linkage_group_14
1105107.RCA_02945	COG0495	COG0495.OTUcal.v2.1171	-
525327.HMPREF0519_2668	COG0012	COG0012.OTUcal.v2.67	-
859654.BVAF_387	COG0172	COG0172.OTUcal.v2.1118	-
159571453-stool2_revised_scaffold25465_1_gene124209	COG0533	COG0533.OTUcal.v2.1992	motu_linkage_group_366
158499257-stool1_revised_scaffold31899_1_gene166184	COG0018	COG0018.OTUcal.v2.2021	-
O2.UC19-0_revised_scaffold12272_5_gene8187	COG0016	COG0016.OTUcal.v2.1827	motu_linkage_group_164
632518.Calow_1270	COG0525	COG0525.OTUcal.v2.385	-
MH0020_revised_scaffold13253_10_gene24305	COG0016	COG0016.OTUcal.v2.827	motu_linkage_group_214
MH0026_revised_scaffold14370_12_gene8324	COG0018	COG0018.OTUcal.v2.20	motu_linkage_group_281
763577454-stool2_revised_scaffold35140_1_gene46222	COG0541	COG0541.OTUcal.v2.1856	motu_linkage_group_486
158479027-stool1_revised_C774961_1_gene56987	COG0172	COG0172.OTUcal.v2.1731	motu_linkage_group_177
339670.Bamb_2869	COG0552	COG0552.OTUcal.v2.703	-
123214.PERMA_0595	COG0018	COG0018.OTUcal.v2.1154	-
1051006.HMPREF1162_0839	COG0012	COG0012.OTUcal.v2.1216	-
160765029-stool1_revised_scaffold21397_2_gene85764	COG0018	COG0018.OTUcal.v2.1713	motu_linkage_group_104
765074482-stool2_revised_scaffold26281_1_gene93885	COG0012	COG0012.OTUcal.v2.675	motu_linkage_group_146
983544.Lacal_0167	COG0552	COG0552.OTUcal.v2.845	-
V1.CD12-0_revised_scaffold1999_4_gene24954	COG0215	COG0215.OTUcal.v2.125	motu_linkage_group_374
MH0081_revised_scaffold2535_2_gene29126	COG0012	COG0012.OTUcal.v2.1808	motu_linkage_group_87
MH0023_revised_scaffold4237_1_gene8621	COG0541	COG0541.OTUcal.v2.1792	-
485914.Hmuk_1291	COG0018	COG0018.OTUcal.v2.1502	-
159814214-stool2_revised_scaffold7454_1_gene21183	COG0012	COG0012.OTUcal.v2.1693	motu_linkage_group_258
379731.PST_3768	COG0495	COG0495.OTUcal.v2.382	-
675950834-stool1_revised_scaffold35080_1_gene47214	COG0016	COG0016.OTUcal.v2.2122	-
160178356-stool1_revised_scaffold5700_1_gene2183	COG0215	COG0215.OTUcal.v2.1762	motu_linkage_group_127
159207311-stool2_revised_scaffold6797_1_gene141726	COG0215	COG0215.OTUcal.v2.1379	motu_linkage_group_299
698963.CDC7B_0529	COG0533	COG0533.OTUcal.v2.1263	-
764184357-stool1_revised_scaffold37301_1_gene59325	COG0533	COG0533.OTUcal.v2.2001	motu_linkage_group_378
MH0025_revised_scaffold42279_2_gene21791	COG0552	COG0552.OTUcal.v2.1755	motu_linkage_group_333
641146.HMPREF9020_01103	COG0525	COG0525.OTUcal.v2.805	-
158337416-stool2_revised_scaffold22092_1_gene65469	COG0016	COG0016.OTUcal.v2.2036	-
373384.SFV_1217	COG0012	COG0012.OTUcal.v2.923	motu_linkage_group_607
763840445-stool2_revised_scaffold21366_1_gene178338	COG0012	COG0012.OTUcal.v2.1358	motu_linkage_group_299
158499257-stool1_revised_scaffold21576_1_gene83031	COG0495	COG0495.OTUcal.v2.1922	motu_linkage_group_120
765094712-stool1_revised_C389776_1_gene41322	COG0172	COG0172.OTUcal.v2.1683	motu_linkage_group_284
MH0057_revised_scaffold6831_25_gene33819	COG0215	COG0215.OTUcal.v2.1803	motu_linkage_group_310
MH0040_revised_scaffold38764_1_gene9901	COG0172	COG0172.OTUcal.v2.1888	motu_linkage_group_124
MH0009_revised_scaffold53760_1_gene66806	COG0552	COG0552.OTUcal.v2.1787	motu_linkage_group_621
557598.LHK_00345	COG0012	COG0012.OTUcal.v2.180	-
763577454-stool1_revised_scaffold49540_1_gene115839	COG0012	COG0012.OTUcal.v2.2020	motu_linkage_group_407
MH0052_revised_scaffold52520_2_gene33677	COG0525	COG0525.OTUcal.v2.1802	motu_linkage_group_104
V1.UC13-0_revised_scaffold1950_10_gene42334	COG0012	COG0012.OTUcal.v2.1358	motu_linkage_group_299
MH0065_revised_scaffold1782_1_gene13225	COG0533	COG0533.OTUcal.v2.1919	motu_linkage_group_121
653045.Strvi_1937	COG0552	COG0552.OTUcal.v2.852	-
216895.VV1_1612	COG0541	COG0541.OTUcal.v2.1325	-
MH0057_revised_scaffold21100_2_gene5219	COG0495	COG0495.OTUcal.v2.2073	-
491074.HMPREF0348_2793	COG0018	COG0018.OTUcal.v2.438	-
MH0014_revised_scaffold40471_1_gene42739	COG0495	COG0495.OTUcal.v2.1855	motu_linkage_group_282
764224817-stool1_revised_scaffold2141_1_gene105183	COG0552	COG0552.OTUcal.v2.1751	motu_linkage_group_325
158499257-stool2_revised_scaffold68996_1_gene149418	COG0018	COG0018.OTUcal.v2.1950	motu_linkage_group_363
765560005-stool1_revised_scaffold21690_2_gene99063	COG0012	COG0012.OTUcal.v2.1915	motu_linkage_group_474
246199.CUS_8077	COG0018	COG0018.OTUcal.v2.928	-
160582958-stool1_revised_scaffold18944_1_gene80298	COG0552	COG0552.OTUcal.v2.1835	-
714995.GXY_03993	COG0552	COG0552.OTUcal.v2.327	-
904725.SA21189_1441	COG0533	COG0533.OTUcal.v2.1320	-
MH0014_revised_scaffold40471_1_gene42735	COG0016	COG0016.OTUcal.v2.1791	motu_linkage_group_282
1028802.GG7_0845	COG0533	COG0533.OTUcal.v2.138	-
267671.LIC12028	COG0215	COG0215.OTUcal.v2.1419	-
876044.IMCC3088_777	COG0533	COG0533.OTUcal.v2.1667	-
388400.BB14905_23333	COG0215	COG0215.OTUcal.v2.1354	-
983544.Lacal_1694	COG0018	COG0018.OTUcal.v2.843	-
376619.FTL_1491	COG0172	COG0172.OTUcal.v2.1412	-
663321.REG_1610	COG0541	COG0541.OTUcal.v2.304	-
MH0049_revised_scaffold30213_1_gene30935	COG0541	COG0541.OTUcal.v2.1863	motu_linkage_group_168
707185.G9768_04360	COG0552	COG0552.OTUcal.v2.534	-
765620695-stool1_revised_scaffold3013_7_gene134223	COG0018	COG0018.OTUcal.v2.1320	motu_linkage_group_323
MH0082_revised_scaffold40783_5_gene71467	COG0525	COG0525.OTUcal.v2.1825	motu_linkage_group_126
764224817-stool1_revised_scaffold21200_1_gene7794	COG0012	COG0012.OTUcal.v2.1870	motu_linkage_group_277
160765029-stool1_revised_C1097098_1_gene73065	COG0172	COG0172.OTUcal.v2.1867	motu_linkage_group_17
565666.EFZG_02288	COG0533	COG0533.OTUcal.v2.1445	-
455436.GHTCC_010100007002	COG0016	COG0016.OTUcal.v2.1229	-
MH0012_revised_scaffold17921_1_gene5263	COG0016	COG0016.OTUcal.v2.1968	motu_linkage_group_297
160319967-stool1_revised_scaffold11820_2_gene88890	COG0552	COG0552.OTUcal.v2.426	motu_linkage_group_141
159632143-stool1_revised_scaffold68_1_gene72714	COG0172	COG0172.OTUcal.v2.862	motu_linkage_group_370
160421117-stool1_revised_C313943_1_gene31987	COG0012	COG0012.OTUcal.v2.1738	motu_linkage_group_284
MH0086_revised_scaffold20805_6_gene44846	COG0525	COG0525.OTUcal.v2.866	motu_linkage_group_170
439496.RBY4I_1626	COG0016	COG0016.OTUcal.v2.631	-
224325.AF0894	COG0018	COG0018.OTUcal.v2.1524	-
527032.bthur0009_42220	COG0525	COG0525.OTUcal.v2.766	-
MH0014_revised_scaffold7598_1_gene79989	COG0215	COG0215.OTUcal.v2.1649	motu_linkage_group_95
476213.SPC_1803	COG0018	COG0018.OTUcal.v2.93	-
642492.Clole_2343	COG0012	COG0012.OTUcal.v2.1221	-
469596.HMPREF9488_03363	COG0016	COG0016.OTUcal.v2.1566	motu_linkage_group_623
MH0042_revised_scaffold54898_1_gene12663	COG0016	COG0016.OTUcal.v2.1921	motu_linkage_group_286
764669880-stool2_revised_C358074_1_gene4052	COG0172	COG0172.OTUcal.v2.1720	motu_linkage_group_115
267671.LIC11613	COG0012	COG0012.OTUcal.v2.1396	-
765074482-stool1_revised_scaffold12833_2_gene161761	COG0012	COG0012.OTUcal.v2.835	motu_linkage_group_178
525341.HMPREF0534_0820	COG0525	COG0525.OTUcal.v2.1212	-
504474.cur_0623	COG0012	COG0012.OTUcal.v2.1582	-
706846339-stool1_revised_scaffold48103_4_gene192484	COG0215	COG0215.OTUcal.v2.1993	-
MH0063_revised_scaffold5311_1_gene51742	COG0552	COG0552.OTUcal.v2.2059	motu_linkage_group_7
887325.HMPREF0381_1958	COG0525	COG0525.OTUcal.v2.1637	-
457570.Nther_1251	COG0018	COG0018.OTUcal.v2.1534	-
888056.HMPREF9062_1274	COG0552	COG0552.OTUcal.v2.203	-
273036.SAB0480	COG0215	COG0215.OTUcal.v2.1321	-
MH0057_revised_scaffold18475_3_gene37958	COG0525	COG0525.OTUcal.v2.1957	-
693977.Deipr_1452	COG0552	COG0552.OTUcal.v2.1211	-
V1.CD12-0_revised_scaffold10451_1_gene36790	COG0495	COG0495.OTUcal.v2.361	motu_linkage_group_100
159713063-stool1_revised_scaffold533_4_gene28506	COG0012	COG0012.OTUcal.v2.835	motu_linkage_group_178
765640925-stool1_revised_scaffold32845_1_gene101397	COG0541	COG0541.OTUcal.v2.2088	motu_linkage_group_633
862259.MLC_5660	COG0018	COG0018.OTUcal.v2.484	-
295319.SPA2536	COG0541	COG0541.OTUcal.v2.95	-
382245.ASA_3821	COG0525	COG0525.OTUcal.v2.638	-
391596.PBAL39_08891	COG0215	COG0215.OTUcal.v2.598	-
887898.HMPREF0551_0810	COG0016	COG0016.OTUcal.v2.1598	-
320771.Cflav_PD0170	COG0012	COG0012.OTUcal.v2.343	-
688269.Theth_1860	COG0018	COG0018.OTUcal.v2.1508	-
563990.FTG_0706	COG0533	COG0533.OTUcal.v2.1436	-
765701615-stool1_revised_scaffold40205_2_gene90421	COG0533	COG0533.OTUcal.v2.1797	motu_linkage_group_209
563174.lmo4a_2845	COG0012	COG0012.OTUcal.v2.618	-
395960.Rpal_0290	COG0495	COG0495.OTUcal.v2.1644	-
159611913-stool2_revised_scaffold18973_1_gene100851	COG0172	COG0172.OTUcal.v2.1697	motu_linkage_group_126
604812005-stool2_revised_scaffold2941_1_gene100996	COG0215	COG0215.OTUcal.v2.1765	motu_linkage_group_301
1110509.Mhar_0542	COG0016	COG0016.OTUcal.v2.1042	-
338793263-stool1_revised_scaffold550_1_gene18295	COG0012	COG0012.OTUcal.v2.357	motu_linkage_group_100
452638.Pnec_1434	COG0525	COG0525.OTUcal.v2.1404	-
O2.UC13-0_revised_scaffold21952_2_gene16178	COG0541	COG0541.OTUcal.v2.2051	-
257311.BPP3059	COG0533	COG0533.OTUcal.v2.1582	-
526227.Mesil_0656	COG0012	COG0012.OTUcal.v2.1172	-
159207311-stool1_revised_scaffold14653_1_gene30424	COG0016	COG0016.OTUcal.v2.1764	motu_linkage_group_120
667015.Bacsa_0747	COG0172	COG0172.OTUcal.v2.564	-
MH0073_revised_scaffold4621_2_gene9546	COG0012	COG0012.OTUcal.v2.1724	motu_linkage_group_158
349161.Dred_0015	COG0172	COG0172.OTUcal.v2.558	-
763577454-stool1_revised_scaffold21919_1_gene106506	COG0215	COG0215.OTUcal.v2.1810	motu_linkage_group_274
333146.Faci_050500007146	COG0552	COG0552.OTUcal.v2.232	-
981540.SGPB_0422	COG0525	COG0525.OTUcal.v2.378	-
221109.OB0012	COG0172	COG0172.OTUcal.v2.95	-
764649650-stool1_revised_scaffold6598_1_gene7625	COG0018	COG0018.OTUcal.v2.1577	motu_linkage_group_119
626369.HMPREF0446_01646	COG0018	COG0018.OTUcal.v2.341	-
103690.all1759	COG0552	COG0552.OTUcal.v2.214	-
445983.Bbu156a_0642	COG0012	COG0012.OTUcal.v2.1169	-
509190.Cseg_1430	COG0172	COG0172.OTUcal.v2.1396	-
355249.STTU_3295	COG0172	COG0172.OTUcal.v2.1561	-
696747.NIES39_C00760	COG0552	COG0552.OTUcal.v2.1100	-
159611913-stool1_revised_scaffold1994_2_gene85571	COG0541	COG0541.OTUcal.v2.1521	motu_linkage_group_116
379731.PST_0715	COG0533	COG0533.OTUcal.v2.382	-
981539.SGGB_0495	COG0525	COG0525.OTUcal.v2.378	-
158337416-stool1_revised_scaffold30528_1_gene177795	COG0215	COG0215.OTUcal.v2.1862	-
398513.BBNG_01090	COG0016	COG0016.OTUcal.v2.1028	motu_linkage_group_583
882884.SARI_04065	COG0552	COG0552.OTUcal.v2.1581	-
742013.DelCs14_4996	COG0012	COG0012.OTUcal.v2.292	-
314261.PU1002_01485	COG0172	COG0172.OTUcal.v2.976	-
763597684-stool1_revised_scaffold71043_1_gene97613	COG0525	COG0525.OTUcal.v2.457	motu_linkage_group_155
764143897-stool1_revised_C918338_1_gene17446	COG0533	COG0533.OTUcal.v2.1957	motu_linkage_group_451
764224817-stool1_revised_scaffold48518_1_gene55386	COG0016	COG0016.OTUcal.v2.1790	motu_linkage_group_302
292805.Wbm0217	COG0533	COG0533.OTUcal.v2.973	-
663278.Ethha_0321	COG0552	COG0552.OTUcal.v2.967	-
880724.Metig_0403	COG0012	COG0012.OTUcal.v2.276	-
159227541-stool3_revised_scaffold3847_3_gene74439	COG0215	COG0215.OTUcal.v2.2107	-
O2.UC24-0_revised_scaffold21105_2_gene23410	COG0533	COG0533.OTUcal.v2.1904	motu_linkage_group_182
763496533-stool2_revised_scaffold52285_1_gene163703	COG0018	COG0018.OTUcal.v2.1702	motu_linkage_group_135
