PATID00001	LMOh7858_0068
PATFUN00075	type iii secretion system
PATFUN00076	Adherence
PATFUN00077	Cell-to-cell spread
PATFUN00078	actin-based motility
PATFUN00079	bile resistance
PATFUN00080	biofilm formation
PATFUN00081	 Virulence associated regulation of gene expression
PATFUN00082	survival inside the host derived vacuole
PATFUN00083	Immune evasion
PATFUN00084	iron uptake
PATFUN00085	secretion system effectors
PATFUN00086	heme uptake
PATFUN00087	phosphate uptake
PATFUN00088	intracellular survival and replication
PATFUN00089	virulence
PATFUN00090	Adhesion
PATFUN00091	Iron uptake
PATFUN00092	Intracellular survival and replication
PATFUN00093	type III secrection
PATFUN00094	other virulence regulators
PATFUN00095	Virulence associated adhesion
PATFUN00096	anti-apoptosis
PATFUN00097	adhesion
PATFUN00098	chaperone
PATFUN00099	antibiotics resistance
PATFUN00100	adhesin
PATFUN00101	zinc uptake
PATFUN00102	Adherence
PATFUN00103	Common pili
PATFUN00104	Virulence associated regulation of gene expression
PATFUN00105	escape from the phagosome
PATFUN00106	antiphagocytosis
PATFUN00107	serum resistance
PATFUN00108	antibiotics resistance
PATFUN00109	hemolysins
PATFUN00110	acquisition of nutrients
PATFUN00111	bile resistance
PATFUN00112	Virulence associated adhesion
PATFUN00113	invasins
PATFUN00114	no evidence of virulence
PATFUN00115	quorum sensing system
PATFUN00116	cell motility
PATFUN00117	multidrug efflux systems
PATFUN00118	type iii secretion system effector
PATFUN00119	cell surface and membrane proteins
PATFUN00120	LPS (Lipopolysaccharide)
PATFUN00121	fimbriae
PATFUN00122	cytotoxin
PATFUN00123	two-component system
PATFUN00124	Membrane-acting toxin
PATFUN00125	No evidence of virulence
PATFUN00126	modulate host immune response
PATFUN00127	cording
PATFUN00128	defense again host immune response
PATFUN00129	biofilm formation
PATFUN00130	secretion systems
PATFUN00131	mitogenic
PATFUN00132	stress
PATFUN00133	defence against host immune responses
PATFUN00134	pore-forming
PATFUN00135	proteases
PATFUN00136	invasion
PATFUN00137	 cell-to-cell spread
PATFUN00138	antibiotic resistance
PATFUN00139	type V secretion system
PATFUN00140	type vii secretion system
PATFUN00141	avoidance of host defense
PATFUN00142	Zn uptake
PATFUN00143	acid resistance
PATFUN00144	secretion
PATFUN00145	Virulence associated adhesion 
PATFUN00146	intracellular survival
PATFUN00147	chromatin remodeling
PATFUN00148	anti-apoptosis
PATFUN00149	escape from the phagosome
PATFUN00150	flagella
PATFUN00151	cell-to-cell spread
PATFUN00152	chaperone
PATFUN00153	autophagy
PATFUN00154	flagella
PATFUN00155	Defense against host immune responses
PATFUN00156	zinc uptake
PATFUN00157	type iii secretion system effector
PATFUN00158	fimbriae
PATFUN00159	affect phagosome
PATFUN00160	drug efflux systems
PATFUN00161	exotoxin
PATFUN00162	protease
PATFUN00163	persistence within the host and transmission
PATFUN00164	cellular metabolism
PATFUN00165	type iii secretion system
