#Family	cazy-note	ncbi-cdd	cazy-class	cazy-activities
CE5	There are many cutinases in the databanks. Only an example is given here as cutinases act on cutin rather than on carbohydrate esters.	pfam01083	CE	acetyl xylan esterase (EC 3.1.1.72); cutinase (EC 3.1.1.74)
CE3		cd01833	CE	acetyl xylan esterase (EC 3.1.1.72).
CE2		cd01831	CE	acetyl xylan esterase (EC 3.1.1.72).
CE16	Formerly known as X125 modules; created from Li et al. Appl. Environ. Microbiol., 74:7482-7489 (PMID: 18978092)	cd01846	CE	acetylesterase (EC 3.1.1.6) active on various carbohydrate acetyl esters
CE15	Formerly known as X100 modules; Created following a paper by Xin-Liang Li et al. (2007) FEBS Letters 581(21):4029-35  (PMID: 17678650).	self-built	CE	4-O-methyl-glucuronoyl methylesterase (EC 3.1.1.-)
CE14		pfam02585	CE	N-acetyl-1-D-myo-inosityl-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase (EC 3.5.1.89); diacetylchitobiose deacetylase (EC 3.5.1.-); mycothiol S-conjugate amidase (EC 3.5.1.-)
CE13		pfam03283	CE	pectin acetylesterase (EC 3.1.1.-)
CE12		cd01821	CE	pectin acetylesterase (EC 3.1.1.-); rhamnogalacturonan acetylesterase (EC 3.1.1.-); acetyl xylan esterase (EC 3.1.1.72)
CE11		pfam03331	CE	UDP-3-0-acyl N-acetylglucosamine deacetylase (EC 3.5.1.-).
CBM9	Previously known as cellulose-binding domain family IX (CBD IX).	pfam06452	CBM	Modules of approx. 170 residues found so far only in xylanases. The cellulose-binding function has been demonstrated in one case.
CBM8	Previously known as cellulose-binding domain family VIII (CBD VIII).	self-built	CBM	The cellulose-binding module from a cellulase of the slime mold Dictyostelium discoideum has been experimentally shown to bind cellulose.
CBM62	Created after Montanier et al. (2011) JBC, in press (doi:10.1074/jbc.M110.217372)	self-built	CBM	The CBM62 module od Clostridium thermocellum Cthe_2193 protein binds galactose moieties found on xyloglucan, arabinogalactan and galactomannan.
CBM61	Family created after Cid et al. (2010) [PMID: 20826814]	self-built	CBM	Modules of approx. 150 residues found appended to GH16, GH30, GH31, GH43, GH53 and GH66 catalytic domains. A beta-1,4-galactan binding function has been demonstrated for the CBM60 of Thermotoga maritima GH53 galactanase [PMID: 20826814].
CBM60	Family created after Montanier et al. (2010) [PMID: 20659893]	self-built	CBM	Modules of approx 120 residues usually found appended to xylanases. The xylan-binding function and the relatedness (circular permutation) to family CBM36 has been demonstrated [PMID: 20659893].
CBM59		self-built	CBM	Binding to mannan, xylan, and cellulose demonstrated for the CBM59 of ManF-X10 xylanase from an environmental genomic DNA library (Li et al. (2009) World Journal of Microbiology and Biotechnology 25:2071-2078; doi:10.1007/s11274-009-0111-6)
CBM58		self-built	CBM	The CBM58 module of the Bacteroides thetaiotaomicron SusG protein has been shown to bind maltoheptaose
CBM57		pfam11721	CBM	Created from reading Schallus et al (2008) Mol Biol Cell. 19:3404-3414 [PMID: 18524852] and finding related domains attached to various glycosidases.
CBM56		self-built	CBM	beta-1,3-glucan binding function demonstrated by Yamamoto et al. (1998) FEBS Letters 433:41-43 [PMID: 9738929]
CBM55		self-built	CBM	Binding to chitin demonstrated in the case of the CBM55 of Entamoeba histolytica chitinase (Van Dellen et al. (2002) Infect Immun. 70:3259â€“3263; PMID: 12011021).
CBM54		self-built	CBM	Binding to xylan, yeast cell wall glucan and chitin shown in Dvortsov et al., Microbiology UK (2009) in press.
CBM53	Starch-binding demonstrated in one case.	pfam03423	CBM	Starch-binding function demonstrated by Valdez et al. (2008) [PMID: 18260645]
CBM52		pfam10645	CBM	Modules of approx. 60 residues attached to a few GH81 enzymes but present in other proteins. Binding to beta-1,3-glucan demonstrated for  Schizosaccharomyces pombe 972h- endo-1,3-beta-glucanase Eng1 [Martin-Quadrado et al., Mol. Microbiol. (2008) 69:188-200 PMID:18466295]
CBM51	Also know as NPCBM domains	pfam08305	CBM	Modules of approx. 150 residues found attached to various enzymes from  families GH2, GH27, GH31, GH95, GH98 and GH101 . Binding to galactose and to blood group A/B-antigens demonstrated in the  case of C. perfringens GH95CBM51 and GH98CBM51 respectively [Gregg KJ et al. (2008) J. Biol. Chem. 283:12604-13 PMID: 18292090].
CBM49	Created after Urbanowicz et al. (2007) J. Biol. Chem. 282:12066-74 (PMID: 17322304)	pfam09478	CBM	Modules of approx. 100 residues found at the C-terminus of plant GH9 enzymes. Distantly related to CBM2 modules. Binding to crystalline cellulose demonstrated in the case of Solanum lycopersicum Cel8 enzyme (SlCel9C1).
CBM47	Created from Boraston, Wang and Burke (2006) J. Biol. Chem., 281:35263-71 (PMID: 16987809)	pfam00754	CBM	Modules of approx 150 residues. Fucose-binding activity demonstrated
CBM46	Created from Wamalwa BM, Sakka M, Shiundu PM, Ohmiya K, Kimura T, Sakka K (2006) Appl Environ Microbiol 72:6851-6853 (PMID: 16950908)	pfam03442	CBM	Modules of approx.  100 residues, found at the C-terminus of several GH5 cellulases. Cellulose-binding function demonstrated in one case.
CBM45	Created following Mikkelsen, Suszkiewicz and Blennow (2006) Biochemistry 45:4674-82 (PMID: 16584202).	self-built	CBM	Modules of approx.  100 residues, found at the N-terminus of plastidial alpha-amylases and of alpha-glucan, water dikinases. Starch-binding activity demonstrated in the case of potato alpha-glucan, water dikinase.
CBM44	Created after Najmudin et al. J. Biol. Chem. (2006) 281:8815-8828 (PMID: 16314409)	pfam00801	CBM	The C-terminal CBM44 module of the Clostridium thermocellum enzyme has been demonstrated to bind equally well cellulose and xyloglucan
CBM42	Created following a paper by Miyanaga A, Koseki T, Matsuzawa H, Wakagi T, Shoun H, Fushinobu S (2004) J.Biol. Chem. 279:44907-44914 (PMID: 15292273)	pfam05270	CBM	Modules of approx. 160 residues found mostly at the C-terminus of GH54 catalytic domains. Binding to arabinofuranose (present in arabinoxylan) has been demonstrated.
CBM41	Formerly known as X28 modules.	pfam03714	CBM	Modules of approx. 100 residues found in primarily in bacterial pullulanases. The N-terminal module from Thermotoga maritima Pul13 has been shown to bind to the alpha-glucans amylose, amylopectin, pullulan, and oligosaccharide fragments derived from these polysaccharides (Lammerts van Bueren et al. (2004) Biochemistry 43:15633-42) (PMID: 15581376).
CBM4	Previously known as cellulose-binding domain family IV (CBD IV).	pfam02018	CBM	Modules of approx. 150 residues found in bacterial enzymes. Binding of these modules has been demonstrated with xylan, beta-1,3-glucan, beta-1,3-1,4-glucan, beta-1,6-glucan and amorphous cellulose but not with crystalline cellulose.
CBM39	Formerly known as X67 modules.	self-built	CBM	Modules generally found at the N-terminus of a GH16 module (itself frequently lacking a catalytic machinery) and more seldomly in isolation. The beta-1,3-glucan binding function has been demonstrated, along with binding to lipopolysaccharide and lipoteichoic acid.
CBM38	Formerly known as X39 modules.	self-built	CBM	The inulin-binding function has been demonstrated in the case of the cycloinulo-oligosaccharide fructanotransferase from Paenibacillus macerans (Bacillus macerans) by Lee et al. (2004) FEMS Microbiol Lett 234:105-10. (PMID:15109727).
CBM37	Formerly known as X94 modules.	smart00060	CBM	Modules of approx. 100 residues, conserved in numerous R. albus polysaccharide-degrading enzymes and other proteins from this bacterium.  Several members of CBM37 have been shown to exhibit rather broad binding specificity to xylan, chitin, microcrystalline and phosphoric-acid swollen cellulose, as well as more heterogeneous substrates, such as alfalfa cell walls, banana stem and wheat straw.
CBM36	Formerly known as X9 modules	pfam03422	CBM	Modules of approx. 120-130 residues displaying structural similarities to CBM6 modules. The only CBM36 currently characterised, that from Paenbacillus polymyxa xylanase 43A, shows calcium-dependent binding of xylans and xylooligosaccharides. X-ray crystallography shows that there is a direct interaction between calcium and ligand.
CBM31		pfam11606	CBM	Binding to beta-1,3-xylan has been demonstrated for the C-terminal module of the beta-1,3-xylanase of Alcaligenes sp. XY234.
CBM29		self-built	CBM	Binding to mannan/glucomannan has been demonstrated.
CBM28		pfam03424	CBM	The module from the endo-1,4-glucanase of Bacillus sp. 1139 binds to non-crystalline cellulose, cellooligosaccharides, and beta-(1,3)(1,4)-glucans
CBM27	Formerly known as X11 modules	pfam09212	CBM	Mannan-binding function demonstrated in two cases
CBM26	Formerly known as X22 modules; structurally related to CBM25 modules	self-built	CBM	Starch-binding function demonstrated in two cases.
CBM24	Formerly known as X59 modules	self-built	CBM	alpha-1,3-glucan (mutan)-binding function demonstrated in two cases (PMID:10636904)
CBM23		pfam03425	CBM	Mannan-binding function demonstrated in one case.
CBM22	Formerly known as X6 modules or thermostabilizing domains	pfam02018	CBM	A xylan binding function has been demonstrated in several cases and affinity with mixed beta-1,3/beta-1,4-glucans in one. In several cases a thermostabilizing effect has also been seen.
CBM20	PDB:1b90	pfam00686	CBM	The granular starch-binding function has been demonstrated in several cases. Interact strongly with cyclodextrins. Often designated as starch-binding domains (SBD).
CBM19		pfam03427	CBM	Modules of 60-70 residues with chitin-binding function.
CBM17		pfam03424	CBM	Modules of approx. 200 residues. Binding to amorphous cellulose, cellooligosaccharides and derivatized cellulose has been demonstrated.
CBM16		pfam02018	CBM	Carbohydrate-binding module 16. Binding to cellulose and glucomannan demonstrated [B. Bae et al (2008) J Biol Chem. 283:12415-25 (PMID: 18025086)]
CBM15		pfam03426	CBM	Binding to xylan and xylooligosaccharides has been demonstrated in the case of Xyn10C of Cellvibrio mixtus.
CBM12	Previously known as cellulose-binding domain family XII (CBD XII).	pfam02839	CBM	Modules of approx. 40-60 residues. The majority of these modules is found among chitinases where the function is chitin-binding. Distantly related to the CBM5 family.
CBM11	Previously known as cellulose-binding domain family XI (CBD XI).	pfam03425	CBM	Modules of approx. 180-200 residues. The CBM11 of Clotridium thermocellum Cel26A-Cel5E has been shown to bind both beta-1,4-glucan and beta-1,3-1,4-mixed linked glucans.
CBM10	Previously known as cellulose-binding domain family X (CBD X).	pfam02013	CBM	Modules of approx. 50 residues. The cellulose-binding function has been demonstrated in one case.
Unclassified-GT0	Glycosyltransferases not yet assigned to a family	NA	GT	Some of the proteins in this category display weak similarity to established GT families, but too distant to allow a reliable assignment; some will serve as seeds to build new families in the future.
Unclassified-GH0	Glycoside hydrolases not yet assigned to a family.		GH	
Unclassified-CE0	Carbohydrate esterases not yet assigned to a family.		CE	
Unclassified-PL0	Polysaccharide lyases not yet assigned to a family.		PL	Some of the proteins in this category display weak similarity to established PL families, but too distant to allow a reliable assignment; some will serve as seeds to build new families in the future.
Unclassified-CBM0	Carbohydrate-binding modules not yet assigned to a family.		CBM	
